,key,pid,size,Cluster,brand,brand_code,category,color,color_code,mainCategory,releaseDate,rrp,rrp_range,size_normalization,size_range,stock,subCategory,total_sales,total_sales_range,total_sales_range2
35,10062L,10062.0,L,-1,adidas,1.6,1.4285714285714284,gruen,3.75,0.0,2017/10/1,88.83,7.5,L,4.4444444444444455,0.0,6.097560975609755,14.0,0.0,0.0
36,10062M,10062.0,M,-1,adidas,1.6,1.4285714285714284,gruen,3.75,0.0,2017/10/1,88.83,7.5,M,3.333333333333333,0.0,6.097560975609755,5.0,0.0,0.0
37,10062XL,10062.0,XL,423,adidas,1.6,1.4285714285714284,gruen,3.75,0.0,2017/10/1,88.83,7.5,XL,5.5555555555555545,0.0,6.097560975609755,3.0,0.0,0.0
38,10063L,10063.0,L,9,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,18.98,0.0,L,4.4444444444444455,0.04366812227074236,1.2195121951219512,49.0,0.8333333333333333,4.166666666666666
39,10063M,10063.0,M,121,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,18.98,0.0,M,3.333333333333333,0.08733624454148471,1.2195121951219512,55.0,1.6666666666666663,8.333333333333332
40,10063XL,10063.0,XL,5,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,18.98,0.0,XL,5.5555555555555545,0.0,1.2195121951219512,26.0,0.8333333333333333,4.166666666666666
41,1006439 1/3,10064.0,39 1/3,21,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,39.3,3.333333333333333,0.0,0.0,1.0,0.0,0.0
42,1006441 1/3,10064.0,41 1/3,21,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,41.3,3.333333333333333,0.0,0.0,3.0,0.0,0.0
43,1006442,10064.0,42,17,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,42,4.4444444444444455,0.0,0.0,4.0,0.0,0.0
44,1006444,10064.0,44,17,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,44,4.4444444444444455,0.04366812227074236,0.0,9.0,0.0,0.0
45,1006444 2/3,10064.0,44 2/3,17,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,44.7,4.4444444444444455,0.0,0.0,7.0,0.0,0.0
46,1006446 2/3,10064.0,46 2/3,22,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,46.7,5.5555555555555545,0.0,0.0,3.0,0.0,0.0
47,1006448,10064.0,48,23,adidas,1.6,0.0,rot,7.5,0.0,2017/10/1,165.03,10.0,48,6.666666666666666,0.0,0.0,1.0,0.0,0.0
48,100652 ( 37-39 ),10065.0,2 ( 37-39 ),-1,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,8.82,0.0,M,3.333333333333333,0.3275109170305677,2.1951219512195124,142.0,3.333333333333333,16.666666666666664
49,100654 ( 43-45 ),10065.0,4 ( 43-45 ),-1,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,8.82,0.0,XL,5.5555555555555545,0.6550218340611353,2.1951219512195124,161.0,4.166666666666667,20.833333333333336
50,1006933,10069.0,33,24,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,33,1.1111111111111112,0.0,0.0,2.0,0.0,0.0
51,1006934,10069.0,34,24,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,34,1.1111111111111112,0.0,0.0,4.0,0.0,0.0
52,1006935,10069.0,35,24,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,35,1.1111111111111112,0.0,0.0,7.0,0.0,0.0
53,1006936,10069.0,36,24,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,36,1.1111111111111112,0.04366812227074236,0.0,10.0,0.0,0.0
54,1006937 1/3,10069.0,37 1/3,25,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,37.3,2.2222222222222223,0.0,0.0,7.0,0.0,0.0
55,"1007045,5",10070.0,"45,5",22,Nike,0.0,0.0,schwarz,8.125,0.0,2017/10/1,152.33,10.0,"45,5",5.5555555555555545,0.0,0.0,1.0,0.0,0.0
56,10073L ( 40/42 ),10073.0,L ( 40/42 ),82,Nike,0.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,L,4.4444444444444455,0.13100436681222707,3.1707317073170733,68.0,1.6666666666666663,8.333333333333332
57,10073XL ( 44/46 ),10073.0,XL ( 44/46 ),26,Nike,0.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,XL,5.5555555555555545,0.10917030567685587,3.1707317073170733,32.0,0.8333333333333333,4.166666666666666
58,"1007736,5",10077.0,"36,5",125,Nike,0.0,10.0,gelb,0.625,0.0,2017/10/1,63.43,5.0,"36,5",1.1111111111111112,0.0,0.0,1.0,0.0,0.0
59,10082L,10082.0,L,-1,adidas,1.6,2.2857142857142856,weiss,10.0,5.7142857142857135,2017/10/1,50.73,5.0,L,4.4444444444444455,0.0,2.6829268292682933,5.0,0.0,0.0
60,10083S,10083.0,S,-1,Nike,0.0,2.2857142857142856,khaki,4.375,5.7142857142857135,2017/10/1,38.03,2.5,S,2.2222222222222223,0.021834061135371174,5.365853658536587,2.0,0.0,0.0
61,10084L,10084.0,L,1,Jako,6.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,L,4.4444444444444455,0.0,3.1707317073170733,12.0,0.0,0.0
62,10084M,10084.0,M,27,Jako,6.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,M,3.333333333333333,0.021834061135371174,3.1707317073170733,16.0,0.0,0.0
63,10084S,10084.0,S,28,Jako,6.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,S,2.2222222222222223,0.0,3.1707317073170733,7.0,0.0,0.0
64,1008541,10085.0,41,29,Nike,0.0,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,41,3.333333333333333,0.0,0.7317073170731707,3.0,0.0,0.0
65,1008542,10085.0,42,30,Nike,0.0,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,42,4.4444444444444455,0.0,0.7317073170731707,5.0,0.0,0.0
66,1008544,10085.0,44,30,Nike,0.0,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,44,4.4444444444444455,0.021834061135371174,0.7317073170731707,8.0,0.0,0.0
67,"1008545,5",10085.0,"45,5",31,Nike,0.0,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,"45,5",5.5555555555555545,0.0,0.7317073170731707,1.0,0.0,0.0
68,10093L ( 152-158 ),10093.0,L ( 152-158 ),32,Nike,0.0,1.4285714285714284,gruen,3.75,0.0,2017/10/1,31.68,2.5,L,4.4444444444444455,0.0,4.390243902439025,10.0,0.0,0.0
69,"1009445,5",10094.0,"45,5",33,Nike,0.0,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,177.73,10.0,"45,5",5.5555555555555545,0.0,7.073170731707316,1.0,0.0,0.0
70,10096L,10096.0,L,6,adidas,1.6,1.4285714285714284,rot,7.5,0.0,2017/10/1,50.73,5.0,L,4.4444444444444455,0.15283842794759825,5.365853658536587,10.0,0.0,0.0
71,10096M,10096.0,M,7,adidas,1.6,1.4285714285714284,rot,7.5,0.0,2017/10/1,50.73,5.0,M,3.333333333333333,0.13100436681222707,5.365853658536587,8.0,0.0,0.0
72,10096XL,10096.0,XL,34,adidas,1.6,1.4285714285714284,rot,7.5,0.0,2017/10/1,50.73,5.0,XL,5.5555555555555545,0.021834061135371174,5.365853658536587,6.0,0.0,0.0
73,"1009837,5",10098.0,"37,5",35,Nike,0.0,10.0,weiss,10.0,5.7142857142857135,2017/10/1,101.53,7.5,"37,5",2.2222222222222223,0.0,7.073170731707316,2.0,0.0,0.0
74,1009838,10098.0,38,35,Nike,0.0,10.0,weiss,10.0,5.7142857142857135,2017/10/1,101.53,7.5,38,2.2222222222222223,0.0,7.073170731707316,2.0,0.0,0.0
75,1009839,10098.0,39,-1,Nike,0.0,10.0,weiss,10.0,5.7142857142857135,2017/10/1,101.53,7.5,39,3.333333333333333,0.06550218340611354,7.073170731707316,3.0,0.0,0.0
76,101022XL,10102.0,2XL,-1,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,38.03,2.5,XXL,6.666666666666666,0.021834061135371174,1.2195121951219512,2.0,0.0,0.0
77,10102XL,10102.0,XL,36,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,38.03,2.5,XL,5.5555555555555545,0.04366812227074236,1.2195121951219512,10.0,0.0,0.0
78,10103L,10103.0,L,-1,adidas,1.6,2.2857142857142856,weiss,10.0,5.7142857142857135,2017/10/1,44.38,2.5,L,4.4444444444444455,0.0,5.365853658536587,2.0,0.0,0.0
79,101047 ( L ),10104.0,7 ( L ),-1,Erima,4.8,1.4285714285714284,blau,1.875,0.0,2017/10/1,44.38,2.5,L,4.4444444444444455,0.0,4.634146341463415,1.0,0.0,0.0
80,10105L ( 40/42 ),10105.0,L ( 40/42 ),37,Nike,0.0,2.2857142857142856,schwarz,8.125,5.7142857142857135,2017/10/1,76.13,5.0,L,4.4444444444444455,0.0,2.6829268292682933,1.0,0.0,0.0
81,1010843,10108.0,43,38,Nike,0.0,4.571428571428571,schwarz,8.125,5.7142857142857135,2017/10/1,177.73,10.0,43,4.4444444444444455,0.0,7.073170731707316,3.0,0.0,0.0
82,"1010845,5",10108.0,"45,5",39,Nike,0.0,4.571428571428571,schwarz,8.125,5.7142857142857135,2017/10/1,177.73,10.0,"45,5",5.5555555555555545,0.0,7.073170731707316,1.0,0.0,0.0
83,10111XL,10111.0,XL,40,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,57.08,5.0,XL,5.5555555555555545,0.06550218340611354,4.146341463414634,13.0,0.0,0.0
84,1011543 1/3,10115.0,43 1/3,41,adidas,1.6,4.571428571428571,weiss,10.0,5.7142857142857135,2017/11/22,126.93,10.0,43.3,4.4444444444444455,0.021834061135371174,7.073170731707316,1.0,0.0,0.0
85,1011544,10115.0,44,41,adidas,1.6,4.571428571428571,weiss,10.0,5.7142857142857135,2017/11/22,126.93,10.0,44,4.4444444444444455,0.0,7.073170731707316,1.0,0.0,0.0
86,10116L,10116.0,L,42,Nike,0.0,2.2857142857142856,gruen,3.75,5.7142857142857135,2017/10/1,101.53,7.5,L,4.4444444444444455,0.0,7.804878048780488,4.0,0.0,0.0
87,10116M,10116.0,M,43,Nike,0.0,2.2857142857142856,gruen,3.75,5.7142857142857135,2017/10/1,101.53,7.5,M,3.333333333333333,0.021834061135371174,7.804878048780488,10.0,0.0,0.0
88,10116XL,10116.0,XL,44,Nike,0.0,2.2857142857142856,gruen,3.75,5.7142857142857135,2017/10/1,101.53,7.5,XL,5.5555555555555545,0.0,7.804878048780488,1.0,0.0,0.0
89,1011939 1/3,10119.0,39 1/3,45,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,39.3,3.333333333333333,0.0,0.7317073170731707,5.0,0.0,0.0
90,1011940,10119.0,40,45,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,40,3.333333333333333,0.0,0.7317073170731707,5.0,0.0,0.0
91,1011940 2/3,10119.0,40 2/3,45,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,40.7,3.333333333333333,0.0,0.7317073170731707,6.0,0.0,0.0
92,1011941 1/3,10119.0,41 1/3,45,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,41.3,3.333333333333333,0.04366812227074236,0.7317073170731707,11.0,0.0,0.0
93,1011944,10119.0,44,30,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,44,4.4444444444444455,0.0,0.7317073170731707,8.0,0.0,0.0
94,1011944 2/3,10119.0,44 2/3,30,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,44.7,4.4444444444444455,0.021834061135371174,0.7317073170731707,17.0,0.0,0.0
95,1011945 1/3,10119.0,45 1/3,46,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,45.3,5.5555555555555545,0.04366812227074236,0.7317073170731707,19.0,0.0,0.0
96,1011946,10119.0,46,46,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,46,5.5555555555555545,0.0,0.7317073170731707,13.0,0.0,0.0
97,1011946 2/3,10119.0,46 2/3,46,adidas,1.6,0.0,schwarz,8.125,0.0,2017/10/1,114.23,7.5,46.7,5.5555555555555545,0.021834061135371174,0.7317073170731707,10.0,0.0,0.0
98,10125L,10125.0,L,-1,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,L,4.4444444444444455,0.0,4.390243902439025,143.0,3.333333333333333,16.666666666666664
99,10125M,10125.0,M,-1,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,M,3.333333333333333,0.04366812227074236,4.390243902439025,121.0,3.333333333333333,16.666666666666664
100,10125S,10125.0,S,47,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,S,2.2222222222222223,0.08733624454148471,4.390243902439025,23.0,0.0,0.0
101,10125XL,10125.0,XL,101,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.0,4.390243902439025,59.0,1.6666666666666663,8.333333333333332
102,"1012640,5",10126.0,"40,5",48,Nike,0.0,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,177.73,10.0,"40,5",3.333333333333333,0.0,7.073170731707316,2.0,0.0,0.0
103,1012642,10126.0,42,49,Nike,0.0,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,177.73,10.0,42,4.4444444444444455,0.0,7.073170731707316,4.0,0.0,0.0
104,1012644,10126.0,44,49,Nike,0.0,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,177.73,10.0,44,4.4444444444444455,0.0,7.073170731707316,8.0,0.0,0.0
105,"1012644,5",10126.0,"44,5",49,Nike,0.0,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,177.73,10.0,"44,5",4.4444444444444455,0.0,7.073170731707316,4.0,0.0,0.0
106,10131152,10131.0,152,-1,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,63.43,5.0,XL,5.5555555555555545,0.0,6.829268292682928,13.0,0.0,0.0
107,10131164,10131.0,164,50,adidas,1.6,1.4285714285714284,blau,1.875,0.0,2017/10/1,63.43,5.0,XXXL,7.777777777777778,0.0,6.829268292682928,8.0,0.0,0.0
108,1013344,10133.0,44,51,Nike,0.0,0.0,blau,1.875,0.0,2017/10/1,279.33,10.0,44,4.4444444444444455,0.021834061135371174,0.0,4.0,0.0,0.0
109,"1013344,5",10133.0,"44,5",51,Nike,0.0,0.0,blau,1.875,0.0,2017/10/1,279.33,10.0,"44,5",4.4444444444444455,0.0,0.0,1.0,0.0,0.0
110,"1013345,5",10133.0,"45,5",52,Nike,0.0,0.0,blau,1.875,0.0,2017/10/1,279.33,10.0,"45,5",5.5555555555555545,0.0,0.0,3.0,0.0,0.0
111,1013433,10134.0,33,-1,Nike,0.0,10.0,blau,1.875,0.0,2017/11/15,69.78,5.0,33,1.1111111111111112,0.0,8.78048780487805,1.0,0.0,0.0
112,10135L ( 40/42 ),10135.0,L ( 40/42 ),53,Nike,0.0,2.2857142857142856,schwarz,8.125,5.7142857142857135,2017/10/1,95.18,7.5,L,4.4444444444444455,0.0,7.804878048780488,2.0,0.0,0.0
113,1013737 1/3,10137.0,37 1/3,25,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,37.3,2.2222222222222223,0.021834061135371174,0.7317073170731707,3.0,0.0,0.0
114,1013738,10137.0,38,25,adidas,1.6,10.0,schwarz,8.125,0.0,2017/10/1,76.13,5.0,38,2.2222222222222223,0.0,0.7317073170731707,4.0,0.0,0.0
115,10141XL ( 44/46 ),10141.0,XL ( 44/46 ),40,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/11/21,50.73,5.0,XL,5.5555555555555545,0.0,2.6829268292682933,1.0,0.0,0.0
116,1014443,10144.0,43,54,Jordan,6.4,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,139.63,10.0,43,4.4444444444444455,0.0,7.073170731707316,1.0,0.0,0.0
117,1014444,10144.0,44,54,Jordan,6.4,4.571428571428571,weiss,10.0,5.7142857142857135,2017/10/1,139.63,10.0,44,4.4444444444444455,0.0,7.073170731707316,4.0,0.0,0.0
118,10146M,10146.0,M,-1,Nike,0.0,2.2857142857142856,schwarz,8.125,5.7142857142857135,2017/10/10,120.58,7.5,M,3.333333333333333,0.0,4.634146341463415,3.0,0.0,0.0
119,10153L,10153.0,L,-1,Uhlsport,2.0,8.857142857142858,gelb,0.625,10.0,2017/10/1,44.38,2.5,L,4.4444444444444455,0.0,,4.0,0.0,0.0
120,10154S,10154.0,S,55,adidas,1.6,1.4285714285714284,rot,7.5,0.0,2017/10/1,29.14,0.0,S,2.2222222222222223,0.0,5.365853658536587,5.0,0.0,0.0
121,10157L,10157.0,L,13,Nike,0.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,57.08,5.0,L,4.4444444444444455,0.021834061135371174,4.390243902439025,23.0,0.0,0.0
122,10157M,10157.0,M,56,Nike,0.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,57.08,5.0,M,3.333333333333333,0.0,4.390243902439025,35.0,0.8333333333333333,4.166666666666666
123,10158L,10158.0,L,6,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,76.13,5.0,L,4.4444444444444455,0.06550218340611354,4.146341463414634,53.0,1.6666666666666663,8.333333333333332
124,10158M,10158.0,M,7,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,76.13,5.0,M,3.333333333333333,0.08733624454148471,4.146341463414634,67.0,1.6666666666666663,8.333333333333332
125,10158XL,10158.0,XL,34,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,76.13,5.0,XL,5.5555555555555545,0.0,4.146341463414634,15.0,0.0,0.0
126,10160M,10160.0,M,57,Jako,6.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,69.78,5.0,M,3.333333333333333,0.0,4.634146341463415,5.0,0.0,0.0
127,10164L ( 152-158 ),10164.0,L ( 152-158 ),58,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,20.25,0.0,L,4.4444444444444455,0.0,1.2195121951219512,37.0,0.8333333333333333,4.166666666666666
128,10164M ( 140-152 ),10164.0,M ( 140-152 ),59,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,20.25,0.0,M,3.333333333333333,0.021834061135371174,1.2195121951219512,44.0,0.8333333333333333,4.166666666666666
129,10164S ( 128-140 ),10164.0,S ( 128-140 ),60,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,20.25,0.0,S,2.2222222222222223,0.06550218340611354,1.2195121951219512,9.0,0.0,0.0
130,10164XL ( 158-170 ),10164.0,XL ( 158-170 ),61,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,20.25,0.0,XL,5.5555555555555545,0.021834061135371174,1.2195121951219512,38.0,0.8333333333333333,4.166666666666666
131,10164XS ( 116-128 ),10164.0,XS ( 116-128 ),-1,Nike,0.0,1.4285714285714284,blau,1.875,0.0,2017/10/1,20.25,0.0,XS,1.1111111111111112,0.0,1.2195121951219512,11.0,0.0,0.0
132,1016536,10165.0,36,-1,adidas,1.6,2.2857142857142856,schwarz,8.125,5.7142857142857135,2017/10/1,165.03,10.0,36,1.1111111111111112,0.0,4.634146341463415,2.0,0.0,0.0
133,10167M,10167.0,M,-1,Jako,6.0,4.0,weiss,10.0,10.0,2017/10/1,25.33,0.0,M,3.333333333333333,0.0,,35.0,0.8333333333333333,4.166666666666666
134,10167S,10167.0,S,-1,Jako,6.0,4.0,weiss,10.0,10.0,2017/10/1,25.33,0.0,S,2.2222222222222223,0.0,,25.0,0.0,0.0
135,10168152,10168.0,152,62,adidas,1.6,1.4285714285714284,lila,5.0,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.0,4.390243902439025,1.0,0.0,0.0
